,year,mileage,engineSize,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol,price
1544,2016,32254,1.6,0,1,0,0,1,0,0,0,15000
1545,2016,25399,2.1,0,0,0,1,1,0,0,0,22495
1546,2017,23136,2.1,0,0,0,1,1,0,0,0,19495
1547,2017,26853,2.1,0,0,0,1,1,0,0,0,22395
1548,2017,17257,2.0,0,0,0,1,0,0,0,1,19495
1549,2017,48054,2.1,1,0,0,0,1,0,0,0,14995
1550,2016,9098,2.1,0,1,0,0,1,0,0,0,18995
1551,2019,4499,2.0,1,0,0,0,1,0,0,0,28995
1552,2019,4600,2.0,1,0,0,0,1,0,0,0,26940
1553,2019,8763,2.0,0,0,0,1,1,0,0,0,25440
1554,2019,13046,2.0,0,0,0,1,1,0,0,0,23740
1555,2016,25374,2.1,1,0,0,0,1,0,0,0,17440
1556,2019,4999,2.0,1,0,0,0,1,0,0,0,30240
1557,2019,1999,1.5,1,0,0,0,0,0,0,1,28150
1558,2019,4999,1.5,1,0,0,0,0,0,0,1,32940
1559,2019,4999,2.0,1,0,0,0,1,0,0,0,31740
1560,2019,4999,2.0,1,0,0,0,1,0,0,0,30450
1561,2019,2960,2.0,1,0,0,0,1,0,0,0,32540
1562,2019,4721,2.0,1,0,0,0,1,0,0,0,35891
1563,2016,32924,2.1,0,0,0,1,1,0,0,0,21991
1564,2017,24900,2.1,0,0,0,1,1,0,0,0,21111
1565,2018,35517,2.0,0,0,0,1,0,0,0,1,18171
1566,2019,8252,1.5,1,0,0,0,0,0,0,1,24202
1567,2019,10335,2.0,1,0,0,0,1,0,0,0,30436
1568,2019,4463,2.0,1,0,0,0,1,0,0,0,31216
1569,2019,4938,2.0,1,0,0,0,1,0,0,0,28466
1570,2019,14107,2.0,0,0,0,1,1,0,0,0,26396
1571,2020,2780,2.0,0,0,0,1,1,0,0,0,30990
1572,2019,5824,1.6,1,0,0,0,1,0,0,0,27990
1573,2019,4824,2.0,1,0,0,0,1,0,0,0,28990
1574,2019,7419,2.0,0,0,0,1,1,0,0,0,24990
1575,2019,10079,1.5,0,0,0,1,0,0,0,1,25490
1576,2019,14640,2.0,0,0,0,1,1,0,0,0,21290
1577,2018,10010,1.5,0,0,0,1,0,0,0,1,24990
1578,2019,9160,1.5,0,0,0,1,0,0,0,1,23990
1579,2015,36798,2.1,0,0,0,1,1,0,0,0,16990
1580,2018,14085,2.0,0,0,0,1,1,0,0,0,26890
